id,simbol,analitic,denumire,tip
,1,,"Conturi de capitaluri, provizioane, imprumuturi si",P
,10,,Capital si rezerve,P
,101,,Capital,P
,1011,,Capital subscris nevarsat (P),P
,1012,,Capital subscris varsat (P),P
,1015,,Patrimoniul regiei (P),P
,1016,,Patrimoniul public (P),P
,1017,,Patrimoniul privat (P),P
,1018,,Patrimoniul institutelor nationale de cercetare-de,P
,103,,Alte elemente de capitaluri proprii,P
,1031,,Beneficii acordate angajatilor sub forma instrumen,P
,1033,,Diferente de curs valutar in relatie cu investitia,B
,1038,,Diferente din modificarea valorii juste a activelo,B
,104,,Prime de capital,P
,1041,,Prime de emisiune (P),P
,1042,,Prime de fuziune/divizare (P),P
,1043,,Prime de aport (P),P
,1044,,Prime de conversie a obligatiunilor in actiuni (P),P
,105,,Rezerve din reevaluare (P),P
,1051,,Rezerve din reevaluarea cladirilor,P
,106,,Rezerve,P
,1061,,Rezerve legale (P),P
,1063,,Rezerve statutare sau contractuale (P),P
,1068,,Alte rezerve (P),P
,107,,Diferente de curs valutar din conversie (A/P),B
,108,,Interese care nu controleaza,P
,1081,,Interese care nu controleaza - rezultatul exerciti,B
,1082,,Interese care nu controleaza - alte capitaluri pro,B
,109,,Actiuni proprii,P
,1091,,Actiuni proprii detinute pe termen scurt (A),A
,1092,,Actiuni proprii detinute pe termen lung (A),A
,1095,,Actiuni proprii reprezentând titluri detinute de s,A
,11,,Rezultatul reportat,P
,117,,Rezultatul reportat,B
,1171,,Rezultatul reportat reprezentând profitul nerepart,B
,1172,,Rezultatul reportat provenit din adoptarea pentru,B
,1173,,Rezultatul reportat provenit din modificarile poli,B
,1174,,Rezultatul reportat provenit din corectarea eroril,B
,1175,,Rezultatul reportat reprezentând surplusul realiza,P
,1176,,Rezultatul reportat provenit din trecerea la aplic,B
,12,,Rezultatul exercitiului financiar,P
,121,,Profit sau pierdere (A/P),B
,121.01,,Profit sau pierdere - din exploatare,B
,121.02,,Profit sau pierdere - financiar,B
,121.03,,Profit sau pierdere - exceptional,B
,121.04,,Profit sau pierdere - impozit pe profit / venit,B
,121.05,,Profit sau pierdere - productia stocata,B
,129,,Repartizarea profitului (A),A
,134,,Plusuri de inventar de natura mijloacelor fixe,P
,14,,"Câstiguri sau pierderi legate de emiterea, rascump",P
,141,,Câstiguri legate de vânzarea sau anularea instrume,P
,1411,,Câstiguri legate de vânzarea instrumentelor de cap,P
,1412,,Câstiguri legate de anularea instrumentelor de cap,P
,149,,"Pierderi legate de emiterea, rascumpararea, vânzar",A
,1491,,Pierderi rezultate din vânzarea instrumentelor de,A
,1495,,"Pierderi rezultate din reorganizari, care sunt det",A
,1496,,"Pierderi rezultate din reorganizari de societati,",A
,1498,,Alte pierderi legate de instrumentele de capitalur,A
,15,,Provizioane,P
,151,,Provizioane,P
,1511,,Provizioane pentru litigii (P),P
,1512,,Provizioane pentru garantii acordate clientilor (P,P
,1513,,Provizioane pentru dezafectare imobilizari corpora,P
,1514,,Provizioane pentru restructurare (P),P
,1515,,Provizioane pentru pensii si obligatii similare (P,P
,1516,,Provizioane pentru impozite (P),P
,1517,,Provizioane pentru terminarea contractului de munc,P
,1518,,Alte provizioane (P),P
,16,,Imprumuturi si datorii asimilate,P
,161,,Imprumuturi din emisiuni de obligatiuni,P
,1614,,Imprumuturi externe din emisiuni de obligatiuni ga,P
,1615,,Imprumuturi externe din emisiuni de obligatiuni ga,P
,1617,,Imprumuturi interne din emisiuni de obligatiuni ga,P
,1618,,Alte imprumuturi din emisiuni de obligatiuni (P),P
,162,,Credite bancare pe termen lung,P
,1621,,Credite bancare pe termen lung (P),P
,1621.01,,Credite bancare pe termen lung- Lei,P
,1621.02,,Credite bancare pe terman lung-Valuta,P
,1622,,Credite bancare pe termen lung nerambursate la sca,P
,1623,,Credite externe guvernamentale (P),P
,1624,,Credite bancare externe garantate de stat (P),P
,1625,,Credite bancare externe garantate de banci (P),P
,1626,,Credite de la trezoreria statului (P),P
,1627,,Credite bancare interne garantate de stat (P),P
,166,,Datorii care privesc imobilizarile financiare,P
,1661,,Datorii fata de entitatile afiliate (P),P
,1663,,Datorii fata de entitatile asociate si entitatile,P
,167,,Alte imprumuturi si datorii asimilate (P),P
,168,,Dobânzi aferente imprumuturilor si datoriilor asim,P
,1681,,Dobânzi aferente imprumuturilor din emisiuni de ob,P
,1682,,Dobânzi aferente creditelor bancare pe termen lung,P
,1685,,Dobânzi aferente datoriilor fata de entitatile afi,P
,1686,,Dobânzi aferente datoriilor fata de entitatile aso,P
,1687,,Dobânzi aferente altor imprumuturi si datorii asim,P
,169,,Prime privind rambursarea obligatiunilor si a alto,A
,1691,,Prime privind rambursarea obligatiunilor (A),A
,1692,,Prime privind rambursarea altor datorii (A),A
,2,,Conturi de imobilizari,A
,20,,IMOBILIZaRI NECORPORALE,A
,201,,Cheltuieli de constituire (A),A
,203,,Cheltuieli de dezvoltare (A),A
,205,,"Concesiuni, brevete, licente, marci comerciale, dr",A
,206,,Active necorporale de explorare si evaluare a resu,A
,207,,Fond comercial,A
,2071,,Fond comercial pozitiv (A),A
,2075,,Fond comercial negativ (P),P
,208,,Alte imobilizari necorporale (A),A
,21,,Imobilizari corporale,A
,211,,Terenuri si amenajari de terenuri (A),A
,2111,,Terenuri,A
,2112,,Amenajari de terenuri,A
,212,,Constructii (A),A
,213,,Instalatii tehnice si mijloace de transport,A
,2131,,"Echipamente tehnologice (masini, utilaje si instal",A
,2132,,"Aparate si instalatii de masurare, control si regl",A
,2133,,Mijloace de transport (A),A
,214,,"Mobilier, aparatura birotica, echipamente de prote",A
,215,,Investitii imobiliare (A),A
,216,,Active corporale de explorare si evaluare a resurs,A
,217,,Active biologice productive (A),A
,22,,Imobilizari corporale in curs de aprovizionare,A
,223,,Instalatii tehnice si mijloace de transport in cur,A
,224,,"Mobilier, aparatura birotica, echipamente de prote",A
,227,,Active biologice productive in curs de aproviziona,A
,23,,Imobilizari in curs,A
,231,,Imobilizari corporale in curs de executie (A),A
,235,,Investitii imobiliare in curs de executie (A),A
,26,,Imobilizari financiare,A
